483: 211,119
484: 157,244,399,21,144,373,100,278
485: 218,159,322,577,117,206,202,60,3,653,184
1046: 1013
487: 78,64,193,1007,313,243,126,238,314
488: 772,687,443,959,617,1029
992: 
490: 76,434,152,855,469,59,248,41,363
491: 167,173,357,451,493,200,99,417,127,40
492: 334,163,345,223,415,270,336,242,14
493: 451,239,358,9,153,99,58,417,127,167,357,491
494: 315,389,394,219,33,340,438,419,247
495: 353,46,87,243,238,1007,315,389,323
496: 116,142,262,555,1039,376,457,361,347,628,953,393
497: 203,328,398,474,168,158,81,94
498: 191,32,321,125,426,258,36
499: 577,117,452,8,841,587,279,330,145,337
500: 614,810
501: 
502: 517,610,245,852,465
503: 264,1023,48,431,369,680,256
504: 
505: 611,597
506: 700,585
507: 231,1025,1031,185,1021
508: 696,615
509: 
510: 28,273,15,237,195,75,252,132,391
511: 
512: 864,119,541,915
513: 1014
514: 454,792,879,708
515: 746,567
516: 
517: 833,502,834,4,194,916,245,465
518: 770,185,1021,612,629
519: 381,605,667,137,115,288,767,635,911,470
520: 706,989,636
521: 
522: 
523: 602
524: 554,1034,1030
525: 915,684
526: 677,729
527: 
528: 782
529: 1022
530: 844,826
531: 335,987,897
532: 983,1018,546
1052: 690
534: 
535: 836,803,724,672,858
536: 925,791
537: 279,330,465,231,462,138
538: 542,972,895
539: 981,896
540: 
541: 512,926
542: 538,794
543: 627,716
544: 
545: 571,1030,789,796
546: 1018,532
547: 987
548: 880
549: 405,635,911,988,850,656
550: 572
551: 638
552: 918,448,1008,92,324,122,248,423
553: 878,37,845,560,104,266,377
554: 524,1030,789
555: 601,728,1039,662,928,647,376,6,963,361,347,953,496
556: 348,772,211
557: 560,62,104,113,938
558: 1024
559: 960,1009
560: 104,557,37,845,253,878,553
561: 
1033: 
563: 721,573,843
564: 820,586
565: 
566: 984,600
567: 878,515,37,194,914
568: 384,272,80,350,482,443,450,617,768
569: 711
570: 
571: 545,789
572: 550
573: 931,563
574: 
575: 762,788
576: 718
577: 117,452,499,279,145,584,138,3,653,485
578: 967,727
579: 940
580: 
581: 958,921,919,966,744,425
582: 718
583: 725,1011,848,749
584: 823,1008,138,279,577,3,653,128
585: 506,848,951
586: 564
587: 8,841,914,4,194,916,145,499
588: 
999: 957,1032,779,745
590: 819,868,596
591: 913,1044,941
1026: 220,236,756,697,74,621,30,73
593: 
594: 952
595: 839,596,628,953,891,868,180
596: 839,595,868,590,819
597: 613,505,832
598: 
599: 
600: 379,2,413,566
601: 728,555,1039,662,1045,147
602: 854,523,627
1030: 524,554,789,545
604: 828
605: 381,519,470,735,957
606: 6,963,708,891,899,180
607: 295,320
608: 630
609: 645,348,96,386
610: 848,502,725,852
611: 824,795,505
612: 968,901,518,629
613: 597,618
614: 980,862,500
615: 1027,619,508,933
616: 275,741,28,742,362,400
617: 959,234,768,568,80,443,488,687
618: 822,613
619: 713,615
620: 
621: 74,997,295,103,697,61,1026
622: 752
623: 
624: 
625: 248,884,423,448,689,130,944,154
626: 832,703
627: 543,602
628: 361,347,953,891,116,496,839,595,393
629: 689,130,518,612,968
630: 608
631: 975
1025: 1011,852,233,231,507
633: 994
1013: 1046,1022
635: 405,549,911,988,667,137,519
636: 520,2,989
990: 905
638: 551
639: 779,876,874,745
640: 
641: 
642: 664
643: 826,773,1050,844
644: 800
645: 609,96
646: 
647: 928,555,662,6,963,361,953
648: 811,726
649: 861,929,804,936,261,306
1045: 979,154,147,944,1036,265,601
651: 
652: 869,416,819,693
653: 60,3,577,117,452,206,202,584,485,322
654: 
655: 291,222,903,327,249
656: 874,549,911
657: 
658: 926,817
659: 
1036: 192,265,855,979,1045,154,147
661: 726,748,732
662: 601,555,928,647
663: 691,670
664: 642,821
1028: 862
666: 
667: 199,410,137,35,275,288,405,635,988,519
668: 974
669: 
670: 663
1047: 120,430,24,383,146
672: 996,858,883,535
673: 
674: 975
675: 293,776
676: 
677: 526,995
678: 946,758,795
679: 376,457,97,147,192,445,265,728,349,16,102
680: 54,467,431,369,7,503,256
681: 955,830
989: 2,240,809,706,520,286,636
683: 783
684: 525
685: 
686: 837,936
687: 772,488,443,146,120,617
688: 777,782
689: 130,629,770,448,625,423
690: 1052,811
691: 663
692: 784,930,799
693: 652,853,695
694: 893
695: 705,693
696: 508
697: 103,61,74,621,30,73,374,1026
698: 
1017: 889
700: 506
701: 982
1035: 788,762
703: 626,832
704: 
705: 695
706: 809,318,520,989,240
707: 
708: 6,963,606,454,514
709: 
710: 947,176,351,814
711: 569
712: 812,898
713: 619
1024: 558
715: 
716: 543
717: 896,752
718: 582,576
719: 885
720: 
721: 563,843
722: 813,259,343,179
723: 
724: 172,836,535,858
725: 583,1011,848,610,852
726: 661,648
727: 578,933
728: 601,555,1039,147,265,376,679,457
729: 526
730: 
996: 672,858,883
732: 253,661,748,845
733: 
1055: 1015
735: 112,470,1053,605,957
736: 343,293,856
737: 799
738: 860
739: 766
740: 454,907
741: 275,616,400,988
742: 362,853,869,616
743: 815
744: 966,958,581,181,425,753,302
745: 999,639,779
746: 515,748,37
747: 924,954,395,418,869,416
748: 37,845,661,746,253,732
749: 848,583,1011
750: 783
751: 
752: 717,622
753: 181,425,966,744,442,302,139,109,171
754: 774
755: 800,906
756: 51,1026,236,74,837,23
757: 780
758: 998,678
1029: 864,772,488,112
760: 910,899,956
761: 822
762: 575,788,1035
763: 998,946
1023: 264,503,948,257,67,260,226,370
1011: 725,583,1025,749,852
766: 739
767: 115,274,288,959,234,768,519,112,470
768: 959,234,617,328,398,568,80,274,767
769: 129,368,367,208,903,329,934,88,296
770: 185,1021,518,918,448,689
771: 780
772: 488,687,556,864,1029,211
773: 643,826,1050,1044
774: 797,754
775: 1049,806
776: 293,675
777: 688
778: 
779: 639,874,999,745
780: 863,771,757
1009: 960,559
782: 528,688
783: 683,888,750
784: 692
987: 531,335,897,547
786: 842
787: 352,477,17,86,875,298,101,175
788: 1035,762,575
789: 554,1030,545,571
1008: 823,584,138,60,3,128,552,140,122
791: 536
792: 879,907,514
1043: 118,898,281,856,87
794: 542
